stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
342,FARLAKEE,Farmington Ave @ Lakeview Apts,41.741897,-72.857011,,,,,,0
343,FARBRIE,Farmington Ave @ Bridgewater RdD,41.740432,-72.851536,,,,,,0
344,FARGRAE,Farmington Ave @ opp Grandview Dr,41.740245,-72.850216,,,,,,0
346,FARMELE,Farmington Ave @ Melrose Dr,41.736189,-72.840406,,,,,,0
347,FARMINS,Farmington Ave @ Opp Mini-Golf Park,41.734321,-72.836979,,,,,,0
348,FARTOWE,Farmington Ave @ Town Farm Rd,41.732007,-72.832764,,,,,,0
349,FARHIGHE,Farmington Ave @ High St,41.725358,-72.822327,,,,,,0
351,FAR529E,Farmington Ave @ 529 Farmington Ave,41.724641,-72.807229,,,,,,0
352,FARFARN,Farmington Ave @ Farm Glen Blvd,41.730252,-72.800132,,,,,,0
353,FARMAIN,Farmington Ave @ UConn Health Blvd,41.73573,-72.795128,,,,,,0
355,MAIJACN,UConn Health Blvd @ Pond,41.73412,-72.793531,,,,,,0
358,FAROLDE,Farmington Ave @ Old Mountain Rd,41.739187,-72.791578,,,,,,0
359,FARBEEE,Farmington Ave @ Opp Beech St,41.742564,-72.786309,,,,,,0
360,FARCREE,Farmington Ave @ Opp Crescent Ave,41.743564,-72.784758,,,,,,0
361,FARWATE,Farmington Ave @ Opp Water Treatment Plant,41.745806,-72.781329,,,,,,0
362,FARBUEE,Farmington Ave @ Buena Vista Rd,41.749245,-72.77607,,,,,,0
363,FARRESE,Farmington Ave @ Reservoir Ave,41.75088,-72.773671,,,,,,0
364,FAR1329E,Farmington Ave @ 1329  Farmington Ave,41.752014,-72.772095,,,,,,0
365,FARSUNE,Farmington Ave @ Opp Sunset Farm Rd,41.753095,-72.77058,,,,,,0
368,PLAMEAN,Plainville Ave @ Meadow Rd,41.718661,-72.88263,,,,,,0
371,PLAWEBS,Plainville Ave @ Webster St,41.751932,-72.886423,,,,,,0
372,PLACOPN,Plainville Ave @ Coppermine Rd,41.737139,-72.890867,,,,,,0
373,PLALAKN,Plainville Ave @ opp Lake Garda Dr,41.739373,-72.891075,,,,,,0
374,PLAWEBN,Plainville Ave @ opp Webster St,41.75162,-72.88606,,,,,,0
375,PLAWESN,Plainville Ave @ W District Rd,41.745863,-72.887775,,,,,,0
377,GARCTMN,Garden St @ Ct Mutual,41.771485,-72.686543,,,,,,0
378,GARCOLN,Garden St @ Opp Collins St,41.772228,-72.687317,,,,,,0
379,ASHGARW,Ashley St @ Garden St,41.77364,-72.687435,,,,,,0
380,ASH50W,Ashley St @ 50 Ashley St,41.773928,-72.689276,,,,,,0
381,ASHHUNW,Ashley St @ Huntington St,41.774261,-72.690972,,,,,,0
382,ASHSIGW,Ashley St @ Sigourney St,41.774512,-72.692159,,,,,,0
383,ASHMAYW,Ashley St @ May St,41.774809,-72.693552,,,,,,0
384,ASHATWW,Ashley St @ Atwood St,41.775392,-72.696083,,,,,,0
385,ASH234W,Ashley St @ 234 Ashley St,41.775563,-72.696955,,,,,,0
386,WOOSARN,Woodland St @ Sargeant St,41.77678,-72.698491,,,,,,0
387,HOMWOOW,Homestead Ave @ Woodland Sr,41.779014,-72.698196,,,,,,0
389,HOMADAN,Homestead Ave @ Adams St,41.780321,-72.700545,,,,,,0
390,HOMKENN,Homestead Ave @ Kent St,41.780876,-72.701295,,,,,,0
391,HOMBALN,Homestead Ave @ Baltimore St,41.781842,-72.702166,,,,,,0
392,WESALBN,Westbourne Pkwy @ Albany Ave,41.784649,-72.702573,,,,,,0
